selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
01-1-000002, -846144.74366416, -45040.59998584, 1516762.72934247, 27.32, 26.98, 1.42
01-1-000007, -842252.25795497, 51838.97401676, 1518710.83973963, 10.62, 10.45, 1.33
01-1-000008, -818506.17480620, -2471.42110237, 1532514.36987777, 14.56, 13.45, 1.87
01-1-000009, -822250.03554228, 99940.04916074, 1527244.45509698, 14.61, 13.91, 2.20
01-1-000012, -803462.15841977, 290627.21161731, 1512793.15964047, 11.47, 10.06, 1.77
01-1-000017, -809032.04048511, 239461.90903966, 1518777.11056876, 11.31, 10.85, 0.94
01-1-000021, -800684.24940357, 135684.35604193, 1535920.97722589, 9.11, 8.52, 1.52
01-1-000022, -799181.86889454, 106704.61217695, 1538987.07797382, 9.78, 9.27, 1.65
01-1-000025, -809933.90274174, 95317.34378869, 1534105.74510449, 8.96, 8.46, 0.73
01-1-000031, -782397.09281172, -56947.70030361, 1550216.27800443, 24.78, 23.02, 1.39
01-1-000032, -779522.49576147, -122000.27184176, 1547908.06324935, 19.79, 18.44, 2.01
01-1-000038, -794668.71473447, -313637.31387948, 1512842.36758650, 14.22, 14.10, 1.46
01-1-000039, -795538.94030106, -334054.39383743, 1508006.70304299, 15.97, 12.76, 0.16
01-1-000041, -764149.75887674, -294707.63509738, 1532247.14580381, 8.01, 7.54, 3.12
01-1-000043, -757358.78651624, -282246.17416987, 1537954.33145888, 9.42, 8.68, 1.86
01-1-000044, -763721.30474164, -228081.66213890, 1543783.43172859, 10.73, 9.67, 0.61
01-1-000045, -763251.63388967, -197575.06351998, 1548215.03598170, 12.87, 12.52, 2.60
01-1-000046, -748467.97313860, -188793.94166206, 1556506.11973660, 11.93, 11.21, 3.11
01-1-000050, -788281.69116685, -14764.17908904, 1548209.53180988, 21.08, 15.43, 3.04
01-1-000055, -759847.48876458, 16208.42678715, 1562346.90152963, 9.94, 9.01, 3.06
01-1-000057, -748851.78803116, -8770.32352469, 1567706.23555174, 15.17, 13.68, 1.88
01-1-000059, -773360.44126036, 53603.92133383, 1554863.01888984, 8.54, 7.89, 1.33
01-1-000061, -744760.56933414, 97692.56805580, 1566635.44467491, 16.53, 16.39, 0.02
01-1-000062, -754793.69026735, 131311.80472134, 1559359.62980751, 18.96, 16.62, 1.34
01-1-000067, -760185.95352566, 253410.81432819, 1541576.80160406, 13.63, 8.39, 1.65
01-1-000068, -769904.14920552, 341351.40956198, 1519633.36901575, 12.23, 11.83, 0.79
01-1-000072, -759899.39182967, 398161.27471724, 1510820.72848252, 14.05, 13.34, 2.47
01-1-000074, -728418.23772208, 440364.20590015, 1514610.51003741, 12.66, 11.11, 2.89
01-1-000079, -711879.89981652, 393027.45158030, 1535355.06985893, 11.30, 10.10, 1.21
01-1-000089, -727690.41744343, 91683.52600345, 1574998.26902145, 10.59, 9.57, 1.37
01-1-000092, -711063.22695327, 18185.19113858, 1585123.70056663, 22.67, 22.32, 2.23
01-1-000094, -724739.58685691, -8538.53213523, 1578999.17185268, 11.85, 10.96, 1.28
01-1-000095, -740038.26418806, -284429.79489954, 1545963.07178112, 16.21, 11.06, 1.67
01-1-000097, -698195.12271193, -473140.27904037, 1518953.78697670, 29.50, 27.44, 0.32
01-1-000106, -669526.98358156, -477956.94126207, 1530310.27590995, 9.59, 9.27, 1.21
01-1-000107, -676714.00610866, -427057.30865634, 1542154.00302939, 10.67, 10.40, 2.71
01-1-000108, -684348.19486537, -274024.60445069, 1573256.75728412, 10.87, 10.12, 1.07
01-1-000109, -677897.76962857, -246024.70583119, 1580659.74139069, 10.82, 10.31, 3.05
01-1-000110, -673660.16388722, -263814.66271030, 1579602.02814839, 11.03, 10.82, 3.00
01-1-000113, -695879.20844938, 52921.94752351, 1591072.01430928, 18.35, 17.43, 1.58
01-1-000120, -695667.94433992, 372482.54298217, 1547857.10787249, 25.18, 22.70, 0.79
01-1-000121, -689218.79644285, 463188.19532219, 1526103.83209795, 22.28, 21.50, 0.83
01-1-000122, -647094.01263079, 535855.58930456, 1520752.07914651, 12.42, 11.16, 1.50
01-1-000131, -639342.52996181, 358518.23341650, 1575203.02364170, 25.82, 19.90, 0.64
01-1-000133, -653645.59990212, 328406.50265236, 1575898.27042999, 12.04, 11.57, 0.74
01-1-000134, -655444.39515556, 263978.75355666, 1587219.77763945, 18.48, 16.12, 0.65
01-1-000138, -659329.97336453, 103944.02134491, 1604069.32102381, 15.24, 13.40, 0.14
01-1-000140, -639595.24742328, 26281.41667026, 1615173.66453622, 19.02, 17.91, 2.73
01-1-000141, -658897.91349819, 14078.06581252, 1607549.09960807, 11.49, 11.19, 0.61
01-1-000142, -670724.60336122, -20785.42597499, 1602577.68376855, 13.42, 11.32, 2.85
01-1-000145, -656373.54083205, -96608.78038685, 1605739.48025443, 11.03, 10.12, 2.56
01-1-000150, -661263.20415462, -376184.26888506, 1561977.95460582, 18.53, 16.44, 0.84
01-1-000151, -626115.64118687, -567468.18666211, 1518063.83956261, 11.83, 11.14, 0.80
01-1-000153, -597928.76893100, -468785.48860880, 1562459.63562406, 9.44, 9.05, 2.31
01-1-000154, -630387.98189324, -352947.51964534, 1580062.59390594, 10.83, 10.05, 0.70
01-1-000155, -622210.75601255, -183704.94498617, 1611727.34303601, 12.28, 10.83, 2.41
01-1-000156, -620756.10511991, -142730.96163301, 1616430.78742879, 10.52, 9.78, 1.10
01-1-000157, -602469.22393608, -158515.71831161, 1621870.01984068, 18.84, 18.38, 1.69
01-1-000158, -627443.16593092, -117207.45494636, 1615901.06319402, 16.31, 14.68, 2.84
01-1-000159, -614628.17508398, -108010.56068069, 1621457.58044248, 18.79, 18.38, 2.65
01-1-000160, -601425.93134285, -31572.02617141, 1629677.51910365, 6.84, 6.62, 0.85
01-1-000164, -626807.74903495, 224565.44154300, 1604755.79706519, 20.32, 17.74, 0.07
01-1-000167, -624775.83897515, 268799.56397034, 1598737.22213573, 14.62, 12.29, 0.69
01-1-000168, -625305.54293868, 301786.49430270, 1592631.98819647, 16.22, 15.10, 2.23
01-1-000169, -620890.92690915, 359729.69228856, 1582291.93430538, 13.64, 13.53, 0.86
01-1-000170, -598107.93341497, 361556.78969157, 1590629.54449300, 26.01, 24.10, 2.40
01-1-000173, -617816.41878674, 527814.27688714, 1535667.19109045, 14.92, 13.54, 2.01
01-1-000174, -588527.89132957, 490186.35463950, 1559458.56592999, 15.78, 13.89, 3.13
01-1-000177, -543982.29707174, 602185.01951820, 1536234.10414573, 15.49, 15.25, 2.59
01-1-000178, -558600.77706280, 528205.56096082, 1558050.96747022, 23.68, 19.61, 0.48
01-1-000179, -574728.41346174, 356082.91305470, 1600453.36382859, 30.77, 26.71, 0.84
01-1-000180, -589546.45720886, 310438.19924973, 1604562.82495858, 11.16, 10.82, 1.10
01-1-000182, -564790.34735102, 164354.03516960, 1634796.12632970, 17.91, 16.05, 0.83
01-1-000183, -590523.35853308, 105188.23115379, 1630575.46867772, 13.64, 11.11, 1.58
01-1-000184, -590951.07620338, 32532.35082765, 1633486.22023073, 12.52, 11.99, 0.57
01-1-000185, -565274.12705482, 38942.92543261, 1642409.01417435, 27.65, 24.51, 2.28
01-1-000186, -559509.31921127, 71158.72904732, 1643302.92916312, 25.91, 21.98, 2.96
01-1-000187, -585639.46878436, -68900.45216403, 1634269.83705065, 17.29, 16.90, 2.15
01-1-000195, -558913.39916991, -317481.19590694, 1614119.03602982, 15.37, 13.83, 0.00
01-1-000197, -566004.94877758, -459094.66238897, 1577158.59980068, 10.83, 10.01, 0.38
01-1-000198, -542443.01323097, -655118.74681267, 1514969.88913031, 12.15, 11.75, 2.99
01-1-000203, -511060.67282967, -608648.38060810, 1544966.95675669, 9.25, 8.56, 1.34
01-1-000205, -526761.10981130, -340633.60659973, 1620200.67869546, 10.48, 9.94, 1.54
01-1-000206, -517628.52373008, -387306.06649538, 1612641.77121793, 16.40, 13.45, 2.40
01-1-000209, -531802.38161085, -290261.20939364, 1628340.69445997, 12.87, 11.92, 2.25
01-1-000210, -535807.05713652, -267832.79708903, 1630869.44613178, 9.83, 9.14, 3.10
01-1-000211, -530857.07578641, -191402.94067711, 1643202.49494323, 15.54, 14.27, 0.14
01-1-000212, -539293.35745610, -84219.66302228, 1649432.77612764, 12.39, 9.34, 2.78
01-1-000217, -535365.33072112, 42801.75595128, 1652304.67297934, 10.64, 10.54, 2.14
01-1-000222, -535683.92830199, 200337.29760387, 1640568.94282067, 11.48, 10.82, 1.11
01-1-000223, -552725.88754229, 229670.22398463, 1631043.97287610, 12.30, 12.08, 1.45
01-1-000224, -536572.51788784, 268484.69454932, 1630510.55250810, 13.41, 12.09, 1.45
01-1-000230, -507810.96354847, 327663.38573218, 1628902.54188226, 16.11, 13.04, 2.34
01-1-000231, -528990.13044034, 394196.56552498, 1607276.35135499, 30.83, 26.83, 1.88
01-1-000236, -545918.76852481, 622522.96673852, 1527415.01041970, 22.12, 19.52, 0.51
01-1-000237, -481398.63599495, 634587.17888630, 1544057.39066115, 17.09, 16.48, 2.00
01-1-000244, -482315.49324914, 465473.91834282, 1602892.55919242, 14.83, 14.78, 0.13
01-1-000246, -507039.17863131, 381679.21549596, 1617340.72099582, 27.43, 23.79, 0.86
01-1-000252, -481575.40593614, 205558.34793714, 1656619.94856720, 13.54, 12.56, 0.79
01-1-000253, -510157.19824238, 177196.41111399, 1651332.74205104, 14.47, 13.78, 0.15
01-1-000255, -523098.86510336, 47624.13691972, 1656097.30357556, 10.69, 10.06, 2.42
01-1-000256, -506663.86407800, 15063.98470198, 1661813.33644981, 13.56, 11.00, 1.76
01-1-000257, -519165.61654516, 326.20142031, 1658018.61153303, 23.93, 20.79, 2.96
01-1-000258, -513418.50555543, -30475.70232386, 1659527.47181874, 13.88, 13.83, 1.44
01-1-000260, -496458.68106204, -116370.20266515, 1660886.96603044, 15.76, 15.59, 0.52
01-1-000261, -522830.49588134, -127181.68208671, 1651978.16339020, 12.73, 11.30, 2.87
01-1-000263, -516240.45038969, -155262.65801581, 1651650.10350477, 10.98, 9.80, 1.05
01-1-000264, -504660.09152728, -206955.60876772, 1649559.43452161, 18.51, 17.45, 1.65
01-1-000268, -489732.54534669, -256461.48730489, 1647103.00210934, 18.26, 16.89, 1.73
01-1-000271, -473189.75884299, -354287.51138833, 1633747.40134464, 19.41, 16.39, 2.52
01-1-000272, -493193.18117623, -365850.38149514, 1625260.82349915, 15.72, 13.40, 2.17
01-1-000274, -482199.29614188, -404699.30839195, 1619339.70141763, 17.58, 15.74, 1.38
01-1-000275, -510481.53886220, -461887.01871300, 1595188.93565160, 16.35, 13.97, 0.16
01-1-000278, -503481.22105702, -535347.33998984, 1574315.29421801, 11.99, 10.47, 2.13
01-1-000279, -489412.85475986, -581814.47374887, 1562218.21002449, 9.65, 9.01, 1.76
01-1-000280, -501101.52104360, -632210.10538555, 1538754.82395870, 14.85, 13.32, 1.97
01-1-000282, -440648.93029759, -678539.84910763, 1537521.04161230, 27.13, 23.05, 1.79
01-1-000283, -443787.71471476, -643499.12371827, 1551618.54269729, 19.18, 16.57, 1.39
01-1-000292, -447111.44347796, -426493.29525114, 1623808.35883329, 30.00, 27.40, 1.10
01-1-000295, -451076.83741951, -206281.07247415, 1665093.56069938, 14.85, 14.06, 0.09
01-1-000296, -475632.03532968, -229213.04017512, 1655232.40337477, 8.95, 8.60, 0.10
01-1-000300, -422799.37919136, -52767.36189387, 1684344.10097051, 22.39, 21.65, 2.14
01-1-000305, -457763.26271090, 172609.20906944, 1667098.56225020, 14.34, 9.65, 0.41
01-1-000306, -454022.33560553, 195908.77919563, 1665545.62501463, 18.39, 18.16, 0.38
01-1-000310, -437508.60153671, 217952.62334028, 1667225.73083566, 22.76, 19.09, 1.10
01-1-000313, -448254.02775640, 291912.21519898, 1653001.61682250, 17.90, 15.98, 0.29
01-1-000318, -442183.61374070, 689486.24185170, 1532201.40126435, 17.99, 15.92, 0.05
01-1-000321, -414396.62055203, 176874.82802833, 1677959.92088161, 11.94, 10.96, 0.70
01-1-000322, -435119.48896923, 143716.68851783, 1675880.45628578, 12.23, 12.00, 3.00
01-1-000328, -414230.02319634, -264402.10693191, 1666452.45168673, 18.72, 17.71, 2.60
01-1-000330, -436767.53234485, -355179.24069059, 1643666.81224385, 10.98, 10.43, 0.62
01-1-000332, -415698.05754344, -377222.93365599, 1644219.18954821, 24.12, 23.01, 1.35
01-1-000343, -407931.28453261, -568135.75470961, 1590400.13560114, 15.23, 13.37, 1.88
01-1-000345, -413349.89363796, -745733.64267278, 1513797.19897200, 10.07, 9.91, 0.07
01-1-000347, -353964.71050558, -752315.54330787, 1525545.49817896, 17.39, 17.08, 3.02
01-1-000351, -374756.41128364, -510710.61082846, 1617804.39614591, 17.38, 15.88, 2.71
01-1-000352, -347421.98976447, -531402.13584575, 1617241.01204696, 28.27, 24.78, 2.61
01-1-000355, -386189.14141026, -396725.05323784, 1646822.98356266, 15.86, 14.38, 1.58
01-1-000356, -361906.46583756, -409622.33863121, 1649179.19271354, 15.67, 14.79, 2.14
01-1-000359, -390843.29253775, -620096.43880234, 1575208.14093341, 13.40, 12.66, 2.46
01-1-000360, -402674.74800480, -343637.26475313, 1654788.57791328, 13.79, 11.30, 0.50
01-1-000363, -404697.97861488, -291083.56041326, 1664346.31821691, 10.03, 9.08, 2.94
01-1-000364, -356496.60350680, -252180.20549914, 1681628.39998691, 11.04, 10.48, 3.10
01-1-000366, -347090.61551997, -200570.59735292, 1690520.12708973, 31.14, 27.15, 2.26
01-1-000375, -374606.02967632, 120662.40829340, 1692238.06414907, 16.57, 15.33, 3.05
01-1-000378, -389975.33988198, 213770.73273133, 1679517.80821504, 27.25, 25.43, 0.26
01-1-000381, -363465.67074106, 407472.17757702, 1649368.93710697, 22.07, 20.87, 1.01
01-1-000385, -344891.80683109, 786767.19909691, 1510167.46621227, 13.63, 10.73, 2.35
01-1-000386, -350492.72382377, 739167.84391824, 1532757.15919511, 11.06, 10.19, 2.64
01-1-000387, -325569.49745126, 398945.90922970, 1659338.85142192, 18.94, 17.40, 1.65
01-1-000388, -352182.23949975, 295568.36403908, 1675459.86891964, 18.86, 17.34, 0.83
01-1-000389, -358093.02262581, 265061.95600056, 1679306.49573801, 14.03, 12.39, 0.73
01-1-000390, -338944.77665806, 275492.24113956, 1681600.19726691, 14.55, 13.68, 2.38
01-1-000395, -356918.80437209, 215060.87135473, 1686688.04130987, 18.19, 15.15, 0.44
01-1-000397, -348642.64774170, -32152.35292842, 1701755.94324710, 21.54, 18.90, 1.17
01-1-000398, -333399.54076933, -40965.84976525, 1704618.81526863, 16.69, 16.34, 0.60
01-1-000399, -365500.26006095, -87249.73534567, 1696277.04210647, 11.64, 11.13, 3.01
01-1-000400, -346013.95458190, -98682.20239263, 1699733.78096852, 17.33, 16.57, 2.41
01-1-000401, -354113.77832772, -118828.53213844, 1696773.98964868, 22.28, 20.18, 0.21
01-1-000408, -362409.25622247, -370002.62960943, 1658407.77406716, 12.13, 11.07, 2.43
01-1-000409, -348311.73133406, -451900.30091995, 1641043.51430531, 15.46, 14.79, 1.80
01-1-000410, -343004.27467927, -498440.41033431, 1628638.69071612, 15.26, 14.79, 1.59
01-1-000411, -355437.41435617, -580339.39658723, 1598570.98348637, 17.05, 15.17, 2.19
01-1-000417, -333631.60415706, -719701.39077668, 1545729.15506621, 12.77, 11.89, 1.44
01-1-000418, -325661.07513573, -755777.11827234, 1530132.20724138, 10.21, 9.44, 1.92
01-1-000422, -292109.85911151, -799178.40937121, 1514775.38275639, 11.08, 8.61, 0.02
01-1-000423, -309575.52586596, -793651.78323187, 1514212.20466541, 10.66, 9.83, 2.29
01-1-000424, -297918.47827029, -771472.36771060, 1527950.82583312, 10.97, 9.84, 1.00
01-1-000425, -285470.44317153, -731590.10739052, 1549787.50183494, 12.91, 12.41, 0.00
01-1-000426, -310575.18386857, -706337.36534141, 1556659.67426652, 10.99, 9.79, 2.29
01-1-000428, -311305.36017744, -553810.66602522, 1617078.06828288, 9.57, 9.13, 2.10
01-1-000429, -309158.58270133, -536862.38489098, 1623193.92262024, 16.23, 14.73, 2.05
01-1-000435, -308067.89777050, -237655.63189325, 1693272.78694033, 16.69, 15.99, 0.23
01-1-000439, -291201.85679133, -112791.91450703, 1709104.50898215, 15.44, 14.03, 1.63
01-1-000443, -267188.94286770, -128612.32886111, 1711907.61949182, 31.48, 27.70, 0.17
01-1-000447, -311124.73851241, 154118.92119733, 1702353.52239614, 14.40, 13.98, 1.91
01-1-000449, -308336.91730275, 436076.68670940, 1653276.81552025, 16.67, 12.48, 2.71
01-1-000450, -287684.39889168, 754674.93071315, 1538265.97036645, 12.77, 11.79, 2.08
01-1-000451, -254934.96691138, 790803.66236982, 1525842.87861771, 12.91, 12.64, 2.03
01-1-000453, -250405.11960789, 390630.67687678, 1674294.98904970, 15.38, 14.93, 0.83
01-1-000455, -257476.37361297, 336545.94043688, 1684933.68029919, 18.38, 13.87, 2.03
01-1-000458, -281380.71327342, -172971.20438339, 1705715.28006637, 12.36, 11.60, 2.67
01-1-000459, -268675.06868285, -240231.67438495, 1699606.19264889, 11.34, 11.02, 2.68
01-1-000466, -282222.71380889, -543881.84208757, 1625761.86499062, 9.24, 8.53, 0.67
01-1-000467, -257421.93882526, -527162.54735188, 1635356.95005125, 9.50, 9.35, 0.91
01-1-000469, -270767.81446245, -596682.86584354, 1609103.20000302, 10.70, 9.36, 2.05
01-1-000470, -242902.53887379, -576546.14071238, 1620849.05658680, 30.63, 29.09, 2.97
01-1-000473, -255207.25330571, -772625.24706038, 1535082.48816311, 20.27, 17.68, 1.10
01-1-000476, -212233.41289833, -812740.97695468, 1520844.45056958, 18.81, 16.53, 0.08
01-1-000477, -218679.06911720, -789387.19129142, 1532189.96438270, 24.68, 21.65, 0.75
01-1-000485, -245020.06293677, -483358.12338434, 1650723.73621900, 11.24, 8.93, 0.49
01-1-000489, -237116.70057720, -355178.78818094, 1684096.92676333, 14.58, 13.07, 0.83
01-1-000495, -204494.40959988, -231920.73523281, 1709664.75339801, 30.27, 26.82, 2.31
01-1-000504, -218637.68050962, 70133.74540217, 1722160.73071512, 16.48, 15.61, 0.20
01-1-000511, -237026.65817805, 134081.38732043, 1715925.20375661, 17.13, 16.57, 1.06
01-1-000516, -240343.34444359, 242653.14892084, 1703500.30410930, 9.67, 9.44, 2.97
01-1-000522, -229988.51177572, 526573.20502102, 1639629.44112537, 13.10, 11.05, 0.18
01-1-000523, -225939.03368835, 662705.64530918, 1590072.80988366, 17.77, 16.80, 2.19
01-1-000524, -229602.98411823, 807417.96728648, 1521156.61777050, 23.80, 21.18, 0.07
01-1-000526, -167929.95125022, 759175.91487304, 1553708.53822388, 14.71, 14.01, 0.96
01-1-000527, -165502.88014980, 637839.17370523, 1607584.75519929, 16.98, 15.96, 2.80
01-1-000528, -181628.78814003, 571079.08795988, 1630778.47012207, 16.12, 15.50, 2.48
01-1-000529, -191367.41574900, 519003.01454261, 1646989.11444042, 15.18, 14.06, 1.65
01-1-000531, -180804.03609581, 314821.90181602, 1699045.56462398, 10.17, 9.85, 1.68
01-1-000535, -181107.17212558, 251323.87267877, 1709559.96186926, 10.14, 9.30, 2.40
01-1-000541, -188390.42889740, 128824.65439350, 1722344.91746579, 9.98, 9.18, 2.64
01-1-000542, -204702.17493381, 86928.86872501, 1723107.41144003, 15.03, 13.96, 0.61
01-1-000545, -182395.66983822, -176377.54086964, 1718773.26681009, 12.45, 11.41, 2.82
01-1-000546, -168914.56981110, -208198.04499292, 1716589.70117109, 13.30, 11.55, 0.88
01-1-000547, -178192.62470975, -294846.17526199, 1702901.01927048, 11.88, 10.93, 0.84
01-1-000555, -195062.05587587, -610768.51998616, 1614766.66096108, 19.45, 18.18, 0.86
01-1-000556, -165280.21448456, -587412.71448330, 1626710.64223583, 26.44, 25.56, 2.38
01-1-000561, -197837.29819366, -760815.42361781, 1549380.21628930, 23.10, 21.60, 0.83
01-1-000563, -188204.81239268, -824721.33747370, 1517554.75160135, 22.19, 18.94, 0.91
01-1-000565, -146123.66731364, -726524.88259339, 1571422.35850947, 28.01, 25.73, 1.16
01-1-000567, -157744.45897380, -537319.75084524, 1644677.15099793, 17.24, 15.17, 2.34
01-1-000569, -132180.25747364, -533038.34543058, 1648319.52661941, 15.29, 13.59, 1.81
01-1-000571, -137425.70108518, -518048.07377452, 1652664.25203057, 10.55, 9.99, 0.92
01-1-000572, -144659.35598566, -507360.06270452, 1655360.44337730, 10.92, 9.48, 1.70
01-1-000577, -161507.95510792, -427395.84129759, 1676247.81439929, 11.54, 11.07, 1.60
01-1-000578, -159476.76619757, -402156.48374642, 1682675.27575105, 9.04, 8.72, 0.01
01-1-000580, -138234.44515765, -429442.31610007, 1677804.90382957, 12.62, 11.17, 0.87
01-1-000581, -129250.24692113, -412993.69167118, 1682643.55830658, 15.95, 14.42, 0.46
01-1-000584, -151286.05790459, -316793.54099557, 1701561.97097466, 16.35, 15.87, 1.50
01-1-000585, -161220.51087025, -301609.69888566, 1703407.84793685, 13.69, 10.93, 0.92
01-1-000586, -135161.99427673, -355797.75468461, 1695198.49960544, 29.57, 28.33, 0.06
01-1-000590, -134055.99349352, -216134.36994554, 1718683.70700857, 11.74, 11.25, 0.59
01-1-000591, -163606.50637459, -168257.88838620, 1721476.38789143, 9.14, 8.22, 1.68
01-1-000592, -138648.11829933, -148603.88590567, 1725471.62955112, 23.20, 20.90, 1.55
01-1-000593, -165181.76895194, -72124.94523985, 1728025.38623715, 8.89, 8.56, 2.07
01-1-000594, -155360.35807696, -21248.57360348, 1730309.34149302, 13.44, 12.87, 2.45
01-1-000604, -191745.60567621, 468105.77267424, 1662127.96387430, 10.94, 10.35, 2.57
01-1-000606, -160667.41441955, 610257.58728603, 1618743.46920801, 16.83, 12.33, 0.01
01-1-000609, -136895.81261779, 755537.51654401, 1558518.96285616, 12.65, 11.54, 2.85
01-1-000610, -92879.75835444, 649292.36522724, 1608835.45925170, 14.17, 13.87, 2.69
01-1-000611, -102047.30301015, 504779.47806230, 1659319.97712181, 13.69, 13.14, 2.72
01-1-000613, -100465.42568587, 477817.11636379, 1667380.05912016, 14.22, 13.15, 0.03
01-1-000622, -97463.99710079, 200737.01251799, 1723010.20921946, 10.96, 10.66, 2.92
01-1-000628, -121227.15750534, 14466.19295386, 1733105.15132366, 18.29, 15.31, 0.50
01-1-000630, -102000.96162045, -181259.17425835, 1724905.70048791, 10.10, 9.75, 2.00
01-1-000632, -78418.48097968, -269724.88684887, 1714543.02578127, 13.36, 13.03, 1.32
01-1-000635, -83461.19258870, -329207.16665447, 1703882.51671147, 15.06, 14.40, 3.11
01-1-000639, -111893.80328706, -449751.17970955, 1674443.91161240, 11.65, 11.29, 0.74
01-1-000640, -105919.17451708, -475218.55289635, 1667785.12268599, 15.93, 12.75, 2.81
01-1-000642, -99500.40121617, -540593.85549482, 1648155.54895740, 9.46, 9.10, 0.81
01-1-000644, -102668.08423827, -589293.88854568, 1631180.78011039, 8.60, 8.03, 0.27
01-1-000649, -98818.88627529, -732999.85144103, 1572102.03406228, 16.35, 14.73, 2.82
01-1-000650, -119977.58132892, -819013.73421441, 1527540.71734492, 8.47, 7.57, 1.28
01-1-000651, -58543.95968639, -838058.41240031, 1520785.80417800, 11.92, 11.30, 1.03
01-1-000652, -52432.24391517, -798253.62585789, 1542271.30188004, 12.56, 11.72, 2.63
01-1-000653, -50205.25742855, -810632.02267782, 1535875.61864098, 11.29, 8.41, 2.56
01-1-000654, -58609.93708376, -758416.13628919, 1562027.08026820, 15.54, 15.12, 3.07
01-1-000656, -40441.25806755, -725617.14768753, 1578101.08029484, 16.74, 15.08, 0.11
01-1-000659, -49521.26344491, -653122.86143627, 1609203.81938899, 13.05, 12.85, 2.72
01-1-000664, -52470.87505199, -535043.22599661, 1652130.23505607, 13.51, 12.77, 1.50
01-1-000667, -84237.56033290, -543827.62517458, 1647942.44666679, 10.30, 9.43, 1.08
01-1-000668, -71560.14836235, -506993.74537946, 1660239.51504368, 20.90, 18.77, 0.42
01-1-000669, -87591.78939409, -464366.03829600, 1671900.30232308, 10.06, 8.60, 1.83
01-1-000670, -60195.63656722, -483968.10051927, 1667546.13819769, 17.28, 17.07, 0.66
01-1-000673, -71512.65889325, -435700.38437224, 1680360.04316810, 29.57, 28.43, 2.59
01-1-000674, -78247.46328977, -410810.80154324, 1686318.64717915, 7.59, 7.36, 1.46
01-1-000676, -78863.87555736, -318578.75826842, 1706120.40135280, 8.52, 7.42, 1.93
01-1-000677, -53101.21747771, -306466.46026177, 1709332.42215697, 10.42, 9.16, 0.26
01-1-000678, -56730.11411794, -320880.91962956, 1706568.45440488, 20.43, 19.65, 1.78
01-1-000686, -66435.22439283, 70452.52470419, 1734699.27155190, 24.26, 20.62, 3.00
01-1-000687, -30400.18758871, 205949.25917722, 1724882.45722395, 32.96, 25.33, 2.79
01-1-000690, -60491.72893878, 328624.31613406, 1704964.97605535, 10.56, 10.10, 2.47
01-1-000691, -75234.32206460, 362146.76249048, 1697571.28840033, 11.79, 11.46, 1.74
01-1-000692, -84509.51865227, 446869.22329199, 1676819.84677293, 11.67, 8.90, 1.28
01-1-000693, -86552.88949477, 498628.01391893, 1662058.20026116, 7.56, 6.92, 2.43
01-1-000694, -64008.25945691, 500320.82099837, 1662570.53348025, 8.47, 7.97, 1.78
01-1-000696, -50653.09160431, 646218.44159182, 1611953.70592879, 14.66, 14.11, 2.63
01-1-000701, -18395.91261599, 725195.90138521, 1578705.56311591, 18.09, 14.81, 0.62
01-1-000705, -7779.85512027, 586559.71473150, 1635373.33196687, 9.54, 9.17, 0.29
01-1-000706, -11473.02862298, 482584.85390292, 1668993.40573824, 10.62, 9.47, 1.23
01-1-000711, 13344.48553932, 429137.27597579, 1683514.74097311, 16.78, 15.60, 2.97
01-1-000715, -29737.17889908, 332903.25846451, 1704948.64459163, 8.24, 7.96, 2.86
01-1-000717, -45185.54728417, 276949.98002135, 1714589.08630692, 10.19, 9.33, 2.08
01-1-000725, -28254.26030930, -238933.40056188, 1720660.13113291, 21.81, 21.30, 0.12
01-1-000726, -21233.77491945, -267118.32533603, 1716611.68791091, 18.65, 17.45, 1.13
01-1-000733, -13050.50259811, -553367.97656290, 1646867.42845216, 19.02, 17.85, 1.99
01-1-000735, -30311.38138201, -638488.32962468, 1615540.97227269, 15.16, 14.07, 0.73
01-1-000737, -21728.25128375, -670890.61182370, 1602495.68800137, 14.91, 14.72, 2.38
01-1-000741, -20497.07863267, -804758.22333186, 1539643.73533207, 11.84, 11.65, 1.44
01-1-000742, -16751.43675240, -828718.42682975, 1526926.29763180, 15.38, 12.14, 0.17
01-1-000744, 3465.57760207, -852196.89099747, 1514036.72635314, 9.54, 9.03, 0.96
01-1-000745, 40082.73925119, -832958.83303394, 1524182.31077678, 13.55, 13.19, 3.09
01-1-000747, 18606.47413106, -776306.16891811, 1554207.60878980, 9.37, 8.28, 0.59
01-1-000749, 7159.89289582, -451759.14254333, 1677623.66848535, 13.30, 11.44, 0.77
01-1-000758, 5712.21744893, -86734.07339661, 1735224.28840881, 8.93, 8.22, 3.12
01-1-000762, 11842.11367749, -13927.72880222, 1737303.81416552, 15.88, 15.26, 2.18
01-1-000763, 14603.04146664, 81548.13686215, 1735423.69828069, 14.92, 12.24, 0.63
01-1-000769, 26954.12431948, 202532.15006957, 1725344.30284809, 25.69, 21.44, 0.46
01-1-000770, 16300.90078340, 224350.76171804, 1722776.76335333, 14.39, 11.75, 0.79
01-1-000772, 33036.44569243, 253905.07040916, 1718429.39001768, 16.02, 14.90, 1.67
01-1-000775, 4162.88106271, 410017.74190385, 1688320.72834083, 19.87, 18.16, 1.58
