selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
05-1-000557, 517862.36056592, -1370410.63471165, -933997.87354057, 6.73, 6.50, 0.04
05-1-000561, 68418.27205819, -1458379.04020564, -941811.16745207, 11.33, 10.37, 1.76
05-1-000562, 63380.13877161, -1445853.03546310, -961275.56811323, 12.28, 10.68, 2.22
05-1-000563, 244158.06497005, -1420173.68276718, -970593.79252373, 12.54, 11.88, 1.25
05-1-000564, 668332.38074973, -1295369.47537955, -945467.35062417, 12.31, 11.36, 1.12
05-1-000565, 733135.95549175, -1255265.56160303, -951513.95187807, 8.70, 7.99, 0.65
05-1-000572, 798132.16575116, -1209695.76702230, -958217.07208841, 10.18, 9.46, 1.71
05-1-000574, 826520.09982026, -1197974.88873596, -948830.56999191, 12.19, 12.01, 2.88
05-1-000575, 863376.00564938, -1166019.42142370, -955792.52023212, 6.52, 5.78, 1.23
05-1-000577, 940304.97152458, -1098080.70013446, -963641.06207570, 10.66, 10.19, 0.83
05-1-000578, 983387.81657897, -1084563.69784844, -935536.60939237, 9.17, 7.93, 0.71
05-1-000580, 1002243.95435424, -1057289.83977096, -946680.52197005, 10.66, 8.45, 1.17
05-1-000581, 1009632.04212336, -1036923.07116549, -961245.25694671, 7.87, 7.50, 0.81
05-1-000583, 1065938.23474330, -998290.25829303, -941143.45341695, 12.58, 11.53, 1.46
05-1-000584, 1069588.15761915, -961608.98258679, -974601.50712446, 22.65, 18.05, 1.57
05-1-000586, 1096009.40639919, -955268.10944641, -951201.86088925, 18.72, 16.34, 1.41
05-1-000588, 1109543.16305184, -923223.27188139, -967021.98505594, 9.56, 9.32, 1.13
05-1-000591, 1208492.63637909, -805263.69664052, -953758.19089031, 17.05, 11.67, 1.15
05-1-000592, 1210215.90544607, -790465.73482992, -963898.40972228, 9.84, 9.44, 1.16
05-1-000593, 1238012.57730695, -769546.09764832, -945347.77834618, 25.13, 21.19, 1.64
05-1-000597, 1281518.22599235, -681309.25965493, -955032.71627618, 8.32, 7.20, 1.44
05-1-000599, 1371435.46951171, -482151.68220496, -951447.98507964, 14.84, 13.58, 2.10
05-1-000600, 1385801.43709071, -442398.90861526, -949945.44191410, 8.82, 8.65, 1.79
05-1-000603, 1409837.76554414, -383070.86597511, -940304.70938233, 8.25, 7.81, 1.41
05-1-000608, 1430582.41800609, -279891.30838598, -945332.51334217, 7.22, 6.57, 0.49
05-1-000619, 1413514.44985735, -276808.14298102, -971551.80614513, 18.04, 16.62, 1.49
05-1-000624, 1450888.91787785, -32089.20397994, -955222.69181964, 13.42, 10.53, 0.98
05-1-000627, 1429161.77347440, -162655.54682943, -974473.47748675, 15.10, 13.78, 1.61
05-1-000628, 1421124.49391926, -154584.29570866, -987455.12723515, 9.71, 8.84, 1.49
05-1-000630, 1406052.81592637, -257678.49701090, -987510.01564730, 11.80, 9.45, 1.85
05-1-000632, 1392147.25726175, -282274.16488683, -1000402.95378214, 12.58, 12.18, 0.64
